id_rating,rating_name
1,Not Rated
2,PG-13
3,TV-MA
4,PG
5,TV-14
6,TV-PG
7,TV-Y
8,TV-Y7
9,R
10,TV-G
11,G
12,NC-17
13,NR
14,TV-Y7-FV
15,UR
