show_id,id_actor
s79,553
s80,551
s80,552
s80,553
s81,554
s81,555
s81,556
s81,557
s81,558
s81,559
s81,560
s82,561
s82,562
s82,563
s82,564
s82,565
s82,566
s82,567
s83,568
s83,569
s83,570
s83,571
s83,572
s83,573
s83,574
s83,575
s83,576
s83,577
s83,578
s83,579
s83,580
s84,581
s85,582
s85,583
s85,584
s85,585
s85,387
s85,388
s85,586
s85,587
s85,588
s85,589
s86,590
s86,591
s86,592
s86,593
s86,594
s86,595
s86,596
s86,597
s86,598
s86,599
s87,600
s87,601
s87,602
s87,603
s87,604
s87,605
s87,606
s87,607
s88,608
s88,609
s88,610
s88,611
s88,612
s89,613
s89,614
s90,305
s90,615
s90,307
s90,306
s90,616
s90,617
s90,308
s91,618
s91,619
s91,620
s91,621
s91,622
s91,623
s91,624
s91,625
s92,1
s93,626
s93,627
s93,628
s93,629
s93,630
s93,631
s93,632
s93,633
s93,634
s93,635
s93,636
s94,637
s94,638
s94,639
s94,640
s94,641
s94,642
s94,643
s94,644
s94,645
s94,646
s95,647
s95,648
s95,649
s95,650
s95,651
s95,652
s95,653
s95,654
s95,655
s95,656
s95,657
s95,658
s96,659
s97,660
s97,661
s97,662
s97,663
s97,664
s97,665
s97,666
s97,667
s97,668
s97,669
s98,670
s98,318
s98,671
s98,672
s98,673
s98,316
s98,674
s99,675
s99,676
s99,677
s99,495
s99,678
s99,679
s99,680
s99,681
s99,682
s99,683
s99,684
s99,685
s99,686
s100,687
s100,688
s100,689
s100,690
s100,691
s100,692
s100,693
s100,694
s101,695
s101,696
s101,697
s101,698
s101,699
s101,700
s101,701
s101,702
s101,703
s102,1
s103,1
s104,520
s104,704
s104,705
s104,515
s104,706
s104,707
s104,708
s104,709
s104,710
s104,711
s104,712
s104,713
s104,714
s104,715
s105,716
s105,717
s106,718
s106,719
s106,720
s106,721
s106,722
s106,723
s106,724
s106,725
s106,726
s106,727
s106,728
s107,729
s107,730
s107,731
s107,732
s107,733
s107,734
s107,735
s108,736
s108,737
s108,738
s108,739
s108,740
s108,741
s109,742
s109,743
s109,744
s109,745
s109,746
s109,747
s109,748
s109,749
s110,750
s110,751
s110,752
s110,753
s110,754
s110,755
s110,756
s110,757
s110,758
s110,759
s110,760
s110,761
s110,762
s111,1
s112,763
s112,764
s112,316
s112,765
s112,766
s112,319
s112,767
s113,768
s113,650
s113,769
s113,770
s113,771
s113,772
s113,773
s113,774
s114,775
s114,776
s114,777
s114,778
s114,779
s114,780
s114,781
s114,782
s115,783
s115,784
s115,785
s115,786
s115,787
s115,788
s115,789
s115,790
s115,791
s116,792
s116,793
s116,794
s116,795
s116,796
s116,554
s116,797
s116,798
s116,799
s116,800
s117,801
s117,802
s117,803
s117,804
s117,805
s117,806
s117,807
s117,808
s118,1
s119,809
s119,810
s119,811
s119,812
s119,813
s119,814
s120,815
s120,816
s120,817
s120,818
s120,819
s121,820
s121,821
s121,822
s121,823
s122,824
s122,825
s122,826
s122,827
s122,828
s122,829
s122,830
s122,831
s122,832
s122,833
s122,834
s122,835
s122,836
s123,837
s123,838
s123,839
s123,840
s123,841
s123,842
s123,843
s123,844
s124,1
s125,1
s126,845
s126,846
s126,847
s126,848
s126,849
s126,850
s126,851
s127,852
s127,853
s127,854
s127,855
s127,856
s127,857
s127,858
s127,859
s128,860
s128,861
s128,862
s128,863
s128,864
s128,865
s128,866
s128,867
s128,868
s128,869
s128,870
s128,871
s128,872
s128,873
s128,874
s129,875
s129,876
s129,877
s129,249
s129,878
s129,879
s129,880
s129,881
s129,882
s129,883
s130,884
s130,885
s130,886
s130,887
s130,888
s130,889
s130,890
s130,891
s130,892
s130,893
s131,894
s131,895
s131,896
s131,897
s131,898
s132,223
s132,899
s132,900
s132,901
s132,902
s132,903
s132,904
s132,905
s132,906
s132,907
s132,908
s132,909
s133,910
s133,911
s133,912
s133,913
s133,914
s133,915
s133,916
s133,917
s133,918
s133,919
s133,920
s133,921
s133,922
s133,923
s133,924
s134,925
s134,926
s134,927
s134,928
s134,929
s134,930
s134,931
s134,932
s134,933
s134,934
s135,223
s135,935
s135,936
s135,937
s135,938
s135,377
s135,939
s135,940
s135,941
s135,942
s135,943
s135,944
s135,945
s136,946
s136,947
s136,948
s136,949
s136,950
s136,951
s136,952
s136,953
s136,954
s136,955
s136,956
s137,957
s137,958
s137,959
s137,960
s137,357
s137,961
s137,962
s137,694
s137,963
s137,964
s138,965
s138,966
s138,967
s138,968
s138,969
s138,970
s138,971
s138,972
s138,973
s138,870
s138,974
s138,975
s138,976
s138,977
s139,978
s139,979
s139,980
s139,41
s139,981
s139,982
s139,983
s139,984
s139,985
s139,986
s140,987
s140,988
s140,989
s140,990
s140,140
s140,991
s140,992
s140,993
s140,994
s140,995
s140,996
s140,997
s140,998
s140,940
s141,999
s141,1000
s141,1001
s141,1002
s141,1003
s141,1004
s141,1005
s142,1006
s142,1007
s142,1008
s142,1009
s142,1010
s142,1011
s142,1012
s142,1013
s143,1014
s143,1015
s143,375
s143,1016
s143,1017
s143,1018
s143,1019
s143,1020
s143,1021
s143,1022
s143,1023
s143,1024
s144,355
s144,1025
s144,1026
s144,1027
s144,1028
s144,1029
s144,1030
s144,1031
s145,1032
s145,1033
s145,1034
s145,1035
s145,1036
s145,998
s145,1037
s145,1038
s145,1039
s145,1040
s145,1041
s145,1042
s145,1043
s146,1032
s146,1033
s146,998
s146,1038
s146,1037
s146,1039
s146,1035
s146,1044
s146,1045
s146,1046
s147,1032
s147,1033
s147,1035
s147,1047
s147,1048
s147,1049
s147,1050
s147,1051
s147,1052
s147,1053
s148,1
s149,1054
s149,1055
s149,1056
s149,1057
s149,1058
s149,1059
s149,1060
s149,1061
s150,1062
s150,1063
s150,1064
s150,1065
s150,1066
s150,1067
s150,1068
s150,1069
s150,1070
s150,1071
s150,1072
s150,1073
s151,1074
s151,1075
s151,1076
s151,650
s151,1077
s151,1078
s151,1079
s151,1080
s151,1081
s151,1082
s151,1083
s151,1084
s151,1085
s151,1086
s151,1087
s151,1088
s151,1089
s152,1090
s152,1091
s152,1092
s152,1093
s152,1094
s152,1095
s152,1096
s152,1097
s153,1098
s153,1099
s153,1100
s153,1101
s153,1102
s154,1103
s154,1104
s154,1105
s154,1106
s154,1107
s155,1108
s155,1109
s155,1110
s155,1111
s155,1112
s155,465
s155,1113
s155,1114
s155,1115
s155,1116
s155,462
s155,1117
s155,528
s155,1118
